[0.000000] (-) TimerEvent: {}
[0.000181] (-) JobUnselected: {'identifier': 'aerostack2'}
[0.000199] (-) JobUnselected: {'identifier': 'as2_alphanumeric_viewer'}
[0.000213] (-) JobUnselected: {'identifier': 'as2_behavior'}
[0.000226] (-) JobUnselected: {'identifier': 'as2_behavior_tree'}
[0.000239] (-) JobUnselected: {'identifier': 'as2_behaviors_motion'}
[0.000248] (-) JobUnselected: {'identifier': 'as2_behaviors_path_planning'}
[0.000258] (-) JobUnselected: {'identifier': 'as2_behaviors_perception'}
[0.000267] (-) JobUnselected: {'identifier': 'as2_behaviors_platform'}
[0.000280] (-) JobUnselected: {'identifier': 'as2_behaviors_swarm_flocking'}
[0.000443] (-) JobUnselected: {'identifier': 'as2_behaviors_trajectory_generation'}
[0.000453] (-) JobUnselected: {'identifier': 'as2_cli'}
[0.000461] (-) JobUnselected: {'identifier': 'as2_core'}
[0.000470] (-) JobUnselected: {'identifier': 'as2_external_object_to_tf'}
[0.000479] (-) JobUnselected: {'identifier': 'as2_gazebo_assets'}
[0.000487] (-) JobUnselected: {'identifier': 'as2_geozones'}
[0.000496] (-) JobUnselected: {'identifier': 'as2_keyboard_teleoperation'}
[0.000504] (-) JobUnselected: {'identifier': 'as2_map_server'}
[0.000513] (-) JobUnselected: {'identifier': 'as2_motion_controller'}
[0.000521] (-) JobUnselected: {'identifier': 'as2_motion_reference_handlers'}
[0.000531] (-) JobUnselected: {'identifier': 'as2_msgs'}
[0.000543] (-) JobUnselected: {'identifier': 'as2_perception'}
[0.000551] (-) JobUnselected: {'identifier': 'as2_platform_gazebo'}
[0.000560] (-) JobUnselected: {'identifier': 'as2_platform_multirotor_simulator'}
[0.000569] (-) JobUnselected: {'identifier': 'as2_python_api'}
[0.000577] (-) JobUnselected: {'identifier': 'as2_realsense_interface'}
[0.000585] (-) JobUnselected: {'identifier': 'as2_rviz_plugins'}
[0.000594] (-) JobUnselected: {'identifier': 'as2_state_estimator'}
[0.000603] (-) JobUnselected: {'identifier': 'as2_usb_camera_interface'}
[0.000611] (-) JobUnselected: {'identifier': 'as2_visualization'}
[0.000620] (-) JobUnselected: {'identifier': 'rmf_demos_assets'}
[0.000628] (-) JobUnselected: {'identifier': 'rmf_demos_bridges'}
[0.000637] (-) JobUnselected: {'identifier': 'rmf_demos_dashboard_resources'}
[0.000645] (-) JobUnselected: {'identifier': 'rmf_demos_fleet_adapter'}
[0.000654] (-) JobUnselected: {'identifier': 'rmf_demos_gz'}
[0.000663] (-) JobUnselected: {'identifier': 'rmf_demos_gz_classic'}
[0.000671] (-) JobUnselected: {'identifier': 'rmf_demos_maps'}
[0.000680] (-) JobUnselected: {'identifier': 'rmf_demos_panel'}
[0.000688] (-) JobUnselected: {'identifier': 'rmf_demos_tasks'}
[0.000699] (rmf_demos) JobQueued: {'identifier': 'rmf_demos', 'dependencies': OrderedDict([('rmf_demos_assets', '/root/aerostack2_ws/install/rmf_demos_assets'), ('rmf_demos_dashboard_resources', '/root/aerostack2_ws/install/rmf_demos_dashboard_resources'), ('rmf_demos_fleet_adapter', '/root/aerostack2_ws/install/rmf_demos_fleet_adapter'), ('rmf_demos_maps', '/root/aerostack2_ws/install/rmf_demos_maps'), ('rmf_demos_tasks', '/root/aerostack2_ws/install/rmf_demos_tasks'), ('rmf_demos_panel', '/root/aerostack2_ws/install/rmf_demos_panel')])}
[0.000720] (rmf_demos) JobStarted: {'identifier': 'rmf_demos'}
[0.011006] (rmf_demos) JobEnded: {'identifier': 'rmf_demos', 'rc': 1}
[0.021338] (-) EventReactorShutdown: {}
