[0.030s] Invoking command in '/root/aerostack2_ws/build/as2_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/root/aerostack2_ws/install/as2_visualization:/root/aerostack2_ws/install/as2_keyboard_teleoperation:/root/aerostack2_ws/install/as2_python_api:/root/aerostack2_ws/src/aerostack2/install/as2_python_api:/opt/ros/humble /usr/bin/cmake --build /root/aerostack2_ws/build/as2_msgs -- -j8 -l8
[0.255s] [  0%] Built target as2_msgs__cpp
[0.263s] [  0%] Built target ament_cmake_python_symlink_as2_msgs
[0.321s] [ 12%] Built target as2_msgs__rosidl_generator_c
[0.367s] [ 29%] Built target as2_msgs__rosidl_typesupport_cpp
[0.369s] [ 37%] Built target as2_msgs__rosidl_typesupport_introspection_cpp
[0.375s] [ 49%] Built target as2_msgs__rosidl_typesupport_fastrtps_cpp
[0.402s] [ 62%] Built target as2_msgs__rosidl_typesupport_c
[0.404s] [ 75%] Built target as2_msgs__rosidl_typesupport_introspection_c
[0.416s] [ 88%] Built target as2_msgs__rosidl_typesupport_fastrtps_c
[0.448s] [ 88%] Built target as2_msgs
[0.486s] [ 88%] Built target as2_msgs__py
[0.550s] [100%] Built target as2_msgs__rosidl_generator_py
[0.592s] [100%] Built target as2_msgs__rosidl_typesupport_introspection_c__pyext
[0.592s] [100%] Built target as2_msgs__rosidl_typesupport_c__pyext
[0.595s] [100%] Built target as2_msgs__rosidl_typesupport_fastrtps_c__pyext
[0.646s] running egg_info
[0.647s] writing as2_msgs.egg-info/PKG-INFO
[0.647s] writing dependency_links to as2_msgs.egg-info/dependency_links.txt
[0.647s] writing top-level names to as2_msgs.egg-info/top_level.txt
[0.651s] reading manifest file 'as2_msgs.egg-info/SOURCES.txt'
[0.653s] writing manifest file 'as2_msgs.egg-info/SOURCES.txt'
[0.687s] [100%] Built target ament_cmake_python_build_as2_msgs_egg
[0.702s] Invoked command in '/root/aerostack2_ws/build/as2_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/root/aerostack2_ws/install/as2_visualization:/root/aerostack2_ws/install/as2_keyboard_teleoperation:/root/aerostack2_ws/install/as2_python_api:/root/aerostack2_ws/src/aerostack2/install/as2_python_api:/opt/ros/humble /usr/bin/cmake --build /root/aerostack2_ws/build/as2_msgs -- -j8 -l8
